Protein_name	Condition1_Rep_1_Frac1	Condition1_Rep_1_Frac2	Condition1_Rep_1_Frac3	Condition1_Rep_1_Frac4	Condition1_Rep_1_Frac5	Condition1_Rep_1_Frac6	Condition1_Rep_1_Frac7	Condition1_Rep_1_Frac8	Condition1_Rep_1_Frac9	Condition1_Rep_1_Frac10	Condition1_Rep_1_Frac11	Condition1_Rep_1_Frac12	Condition1_Rep_1_Frac13	Condition1_Rep_1_Frac14	Condition1_Rep_1_Frac15	Condition1_Rep_1_Frac16	Condition1_Rep_1_Frac17	Condition1_Rep_1_Frac18	Condition1_Rep_1_Frac19	Condition1_Rep_1_Frac20	Condition1_Rep_1_Frac21	Condition1_Rep_1_Frac22	Condition1_Rep_1_Frac23	Condition1_Rep_1_Frac24	Condition1_Rep_1_Frac25	Condition1_Rep_1_Frac26	Condition1_Rep_1_Frac27	Condition1_Rep_1_Frac28	Condition1_Rep_1_Frac29	Condition1_Rep_1_Frac30	Condition1_Rep_1_Frac31	Condition1_Rep_1_Frac32	Condition1_Rep_1_Frac33	Condition1_Rep_1_Frac34	Condition1_Rep_1_Frac35	Condition1_Rep_1_Frac36	Condition1_Rep_1_Frac37	Condition1_Rep_1_Frac38	Condition1_Rep_1_Frac39	Condition1_Rep_1_Frac40	Condition2_Rep_1_Frac1	Condition2_Rep_1_Frac2	Condition2_Rep_1_Frac3	Condition2_Rep_1_Frac4	Condition2_Rep_1_Frac5	Condition2_Rep_1_Frac6	Condition2_Rep_1_Frac7	Condition2_Rep_1_Frac8	Condition2_Rep_1_Frac9	Condition2_Rep_1_Frac10	Condition2_Rep_1_Frac11	Condition2_Rep_1_Frac12	Condition2_Rep_1_Frac13	Condition2_Rep_1_Frac14	Condition2_Rep_1_Frac15	Condition2_Rep_1_Frac16	Condition2_Rep_1_Frac17	Condition2_Rep_1_Frac18	Condition2_Rep_1_Frac19	Condition2_Rep_1_Frac20	Condition2_Rep_1_Frac21	Condition2_Rep_1_Frac22	Condition2_Rep_1_Frac23	Condition2_Rep_1_Frac24	Condition2_Rep_1_Frac25	Condition2_Rep_1_Frac26	Condition2_Rep_1_Frac27	Condition2_Rep_1_Frac28	Condition2_Rep_1_Frac29	Condition2_Rep_1_Frac30	Condition2_Rep_1_Frac31	Condition2_Rep_1_Frac32	Condition2_Rep_1_Frac33	Condition2_Rep_1_Frac34	Condition2_Rep_1_Frac35	Condition2_Rep_1_Frac36	Condition2_Rep_1_Frac37	Condition2_Rep_1_Frac38	Condition2_Rep_1_Frac39	Condition2_Rep_1_Frac40	Condition3_Rep_1_Frac1	Condition3_Rep_1_Frac2	Condition3_Rep_1_Frac3	Condition3_Rep_1_Frac4	Condition3_Rep_1_Frac5	Condition3_Rep_1_Frac6	Condition3_Rep_1_Frac7	Condition3_Rep_1_Frac8	Condition3_Rep_1_Frac9	Condition3_Rep_1_Frac10	Condition3_Rep_1_Frac11	Condition3_Rep_1_Frac12	Condition3_Rep_1_Frac13	Condition3_Rep_1_Frac14	Condition3_Rep_1_Frac15	Condition3_Rep_1_Frac16	Condition3_Rep_1_Frac17	Condition3_Rep_1_Frac18	Condition3_Rep_1_Frac19	Condition3_Rep_1_Frac20	Condition3_Rep_1_Frac21	Condition3_Rep_1_Frac22	Condition3_Rep_1_Frac23	Condition3_Rep_1_Frac24	Condition3_Rep_1_Frac25	Condition3_Rep_1_Frac26	Condition3_Rep_1_Frac27	Condition3_Rep_1_Frac28	Condition3_Rep_1_Frac29	Condition3_Rep_1_Frac30	Condition3_Rep_1_Frac31	Condition3_Rep_1_Frac32	Condition3_Rep_1_Frac33	Condition3_Rep_1_Frac34	Condition3_Rep_1_Frac35	Condition3_Rep_1_Frac36	Condition3_Rep_1_Frac37	Condition3_Rep_1_Frac38	Condition3_Rep_1_Frac39	Condition3_Rep_1_Frac40
Protein0996	12052000	177270000	60694000	30726000	14499000	18706000	9595300	53410000	36887000	30022000	2947200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3281400	12624000	12286000	12012000	7380700	18965000	123280000	79260000	162990000	96799000	5970400	53217000	22198000	19808000	4094400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7367200	11339000	6192800	7102100	11081000	25042000	38963000	35038000	6761000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein0997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4024500	11497000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13598000	26450000	11312000	22572000	42156000	54439000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3571700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein0998	5722000000	19950000000	16901000000	9023200000	10374000000	2856600000	1616300000	2030200000	741240000	1001100000	682770000	203790000	183600000	116660000	48989000	145800000	61607000	49524000	20741000	10209000	2759700	1201700	3219500	3435800	5332000	905370	3083600	0	0	0	0	0	0	0	0	0	1544600	5043800	19070000	54705000	4636500000	15772000000	8978900000	9495400000	7180500000	6036300000	2937000000	1900700000	1099700000	1127500000	489140000	374530000	229500000	39744000	59843000	27313000	28540000	14453000	2977900	0	0	0	0	0	1520000	803750	0	0	0	0	0	0	0	0	0	0	498620	1426900	0	5609100	575610000	3486700000	3242000000	2999200000	2300900000	1764200000	384470000	159400000	134640000	110180000	101980000	47408000	15358000	16762000	1303000	6294400	18144000	0	0	2383600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein0999	0	0	0	0	0	0	0	0	0	0	0	0	2633500	0	0	0	0	18559000	0	21612000	80487000	145160000	152020000	70767000	215050000	41213000	1798500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2562900	0	0	59712000	96620000	254000000	125780000	150180000	44042000	40081000	24366000	8357200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31461000	35740000	21508000	39590000	272510000	100060000	193950000	22326000	72015000	51163000	18472000	13720000	4182400	5595500	2454100	7033300	0	0	0	0
Protein1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1461300	0	0	11731000	20852000	12720000	0	1776200	365340	0	0	0	28892000	11871000	4472200	9419600	0	0	0	0	0	0	0	3457200	1120400	615320	1314900	713350	0	0	0	0	0	0	0	0	0	0	1327200	0	0	2304900	3256400	15122000	2979700	0	0	0	330030	0	0	0	0	0	3619900	0	0	0	0	3260700	4220600	6825000	0	9765200	2367300	1481300	1637300	1223800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29773000	67702000	0	20412000	16334000	24111000	58250000	0	20614000	10097000	19971000	0	0	19565000	5901700	2839100	10013000	22031000	73783000	159050000	210900000	207420000	132200000	72269000	0	0	0	0	0	0	0	0	0	0	0	0	0	85727000	0	0	0	8517800	69438000	77285000	57991000	11370000	0	0	0	0	0	0	0	0	0	0	0	0	33132000	72792000	146470000	148050000	75769000	38114000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28577000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein1002	4241300	0	4343200	12627000	70248000	35040000	63457000	191510000	68398000	116430000	56080000	31943000	5697700	0	0	3275800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	515970	0	1945400	15697000	80692000	58608000	48381000	10522000	29946000	28054000	95677000	120180000	170990000	121230000	143390000	44905000	75933000	14576000	0	0	0	1916500	1505700	2087300	1191200	0	0	0	0	0	0	4073500	17132000	0	0	0	0	0	0	0	0	0	0	3207800	29872000	34517000	38543000	21687000	27312000	17965000	37082000	9243300	2625900	8429200	4470800	2225600	4121500	0	0	0	0	0	0	0	0	0	0	0	0	2856800	7094700	20216000	31473000	19690000	5131000	6025600	0	3658600	2590200	0	2476000	2810000	1815100	542000	0
Protein1003	0	0	0	0	0	0	0	0	0	0	0	5126900	5085700	0	0	0	0	0	0	0	0	0	0	0	5958100	2274000	0	0	0	5302300	2251200	7623300	61466000	72713000	154120000	113870000	118380000	61204000	71593000	58236000	0	0	0	0	0	0	0	0	0	36193000	0	0	0	0	0	0	0	0	0	0	18577000	0	0	0	0	0	0	0	0	0	0	0	0	0	9592900	20844000	62205000	46123000	76327000	24362000	0	0	0	0	0	0	0	0	0	0	13548000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein1004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7038200	21262000	8130100	10449000	0	6821200	5808600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5780100	0	0	15067000	30057000	23265000	49199000	10610000	11118000	0	0	0	0	0	0	0	0	0	0	0	6383600	11667000	33142000	88971000	210130000	249840000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein1005	0	0	0	0	0	0	0	0	0	0	0	3032500	12782000	3752800	2250100	14626000	0	17224000	0	0	0	0	0	0	295280000	120020000	12098000	0	0	17280000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5164800	0	0	0	0	0	9087700	0	0	10345000	0	16847000	0	0	0	3336400	10925000	1722200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein1006	2902400	0	0	0	0	0	0	2104200	2888500	4665900	1891500	19794000	21103000	3538900	10411000	24839000	8479600	39192000	0	0	0	5997300	10702000	4343900	43981000	16875000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6820100	15385000	21059000	13676000	12022000	426280	8331000	12365000	16748000	43316000	0	11630000	12317000	16939000	14917000	19226000	0	0	0	0	6914300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7232900	18101000	15611000	25894000	9320500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10976000	10123000	7823400	0
Protein1007	1683400	11772000	4128600	3148800	3851900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein1008	182580000	226490000	126380000	111810000	74412000	167030000	170980000	399460000	296480000	464160000	218590000	259070000	267430000	136060000	163180000	224710000	101620000	697640000	49482000	113550000	271020000	305080000	334070000	169980000	1320200000	841490000	227430000	50084000	39508000	167260000	21457000	9585000	33869000	15020000	37890000	57657000	21571000	21321000	11051000	44431000	318260000	179010000	102080000	147330000	163170000	33572000	113600000	70565000	107910000	280380000	5497300	24430000	17730000	6011600	20472000	21938000	0	16354000	50709000	27989000	123670000	29213000	24608000	15117000	15986000	7667000	6049100	0	0	0	0	0	0	0	0	0	0	0	0	0	79113000	91549000	110500000	199700000	68666000	95233000	86343000	103210000	34394000	32981000	54690000	15703000	0	4163000	0	0	0	0	0	0	0	0	0	0	15179000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein1009	0	0	0	0	0	0	0	21323000	3236800	18573000	3850100	34847000	10364000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2654800	3664200	1221800	2603900	1217100	1084900	4269500	8363000	20759000	91912000	30637000	73001000	7828300	0	0	0	0	0	0	0	10896000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein1010	0	3387300	0	1181200	717050	688970	0	9345900	5406800	7148400	3238200	0	2472400	0	0	0	0	0	0	0	0	0	0	0	13496000	16942000	1089900	0	0	9374900	1548300	0	0	1874000	2688300	7260900	19238000	22824000	17477000	14446000	6991900	18943000	11305000	28532000	5221000	3284900	4629400	5659600	0	4384000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5807100	7258800	7822600	8576300	0	0	0	0	4990600	3723500	9773000	8115000	7452700	4302800	5933400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5416100	6776200	10462000	15678000	0	0	5030600	6358900	6223900	5457100	2839000
Protein1011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4049600	5961900	75648000	63826000	54842000	74467000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4949600	19961000	26560000	50451000	13972000	0	0	0	0	0	0	0	0	0	0	72219000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein1012	0	4455300	1380700	328560	455750	0	0	0	0	0	0	0	0	0	0	0	0	3520500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11260000	16079000	12614000	0	1956400	716120	2624900	3882200	8196800	4129000	1097700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7221500	7205700	33622000	3416100	2314100	2222800	3332800	0	3098300	1783300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein1013	0	0	0	0	0	0	0	0	3463000	7861200	5279500	7889300	11749000	11178000	15679000	39276000	36373000	19259000	53586000	4895500	75707000	30716000	0	16611000	3173600	17210000	17262000	10910000	11009000	130430000	23246000	25179000	75604000	36653000	27318000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8344700	22689000	0	0	65242000	0	3656500	0	0	1104000	970130	14751000	2671800	36119000	5502500	10581000	3871100	26992000	8535000	9578700	14123000	123310000	6342200	4591100	5753500	3272600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36824000	13897000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein1014	0	0	0	0	0	0	0	0	0	0	0	0	0	1475900	0	5123100	3946800	9671300	2242900	4878200	3462600	3134600	3703700	2957400	25506000	87699000	73705000	42589000	66508000	73731000	18789000	10598000	13366000	19306000	21248000	65337000	27165000	20245000	15130000	14909000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7014100	4221000	0	0	0	0	4347100	0	0	4143000	5693400	3335300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11103000	3882100	9642400	7942900	3846800	0	0	0	0	0	0	0	0	0
Protein1015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6495600	23573000	64722000	100010000	238590000	965720000	41456000	37193000	67645000	113710000	3655800	14928000	29339000	61822000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84663000	45914000	57000000	310830000	54546000	224590000	65903000	8836500	7774500	1318900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34711000	6717600	5209600	0	0	0	0
Protein1016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1770500	19147000	9894400	17380000	12065000	13560000	17601000	80854000	77596000	211900000	269230000	113880000	100630000	50960000	49798000	23560000	61585000	38413000	65229000	14931000	13574000	16979000	0	4338800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21320000	14617000	15565000	33864000	57103000	181540000	286750000	933770000	624160000	294390000	352160000	195970000	175630000	106260000	140470000	29044000	36440000	20638000	34212000	27906000	18787000	1588800	14202000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44865000	91223000	233300000	334890000
Protein1017	13034000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1550500	13642000	25074000	7987700	33377000	31787000	46935000	60250000	31662000	127440000	3360800	4310200	11812000	10370000	0	44832000	3352600	0	4371900	0	18301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12417000	6104100	8225100	5359400	4681000	17322000	13437000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein1018	20581000	63944000	42395000	24657000	4022400	9095100	7613800	13542000	15220000	41340000	24990000	59179000	194470000	88956000	123980000	358190000	403170000	1565400000	175120000	289890000	235850000	219160000	129780000	26513000	96392000	42893000	9719200	0	0	0	0	0	0	0	6642800	7925000	5808900	0	2923400	6016400	16434000	111380000	68118000	75580000	55748000	19668000	60296000	48048000	55579000	219880000	10924000	73449000	83070000	219890000	443730000	719210000	393460000	376390000	1205100000	785770000	1261700000	350080000	106740000	12823000	5572000	5419800	0	0	0	0	0	0	0	0	0	0	15591000	14793000	15073000	8114300	7381800	13993000	21808000	17568000	4897100	0	0	0	3680900	0	3998700	0	0	4527500	5417600	4045200	0	17103000	11412000	0	33411000	60270000	0	0	16017000	0	5430900	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein1019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3576800	20917000	0	0	5900000	16174000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2561500	7371900	17369000	20914000	66161000	34422000	8708100	6967300	2529400	4655700	0	6918800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein1020	0	0	0	0	0	2269100	5217900	82387000	38857000	103170000	61954000	128490000	179720000	58905000	59138000	187060000	178820000	701000000	139900000	204130000	133950000	315470000	659570000	486140000	1834300000	2044500000	1142700000	522160000	402210000	1184600000	262840000	58848000	63256000	38833000	54817000	58989000	51826000	232090000	370480000	805440000	0	0	6574900	0	0	0	0	0	17589000	50993000	4775100	0	5041100	11223000	11242000	30866000	0	3990400	67327000	11558000	22740000	19609000	57866000	78637000	71247000	94809000	84275000	5504800	34621000	7920300	0	0	0	0	0	0	14857000	35490000	31604000	27715000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9791600	5209800	13409000	0	0	0	0	0	0	0	0	0	9682000	34070000	54427000	66271000
Protein1021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6971100	0	0	0	0	0	0	14080000	232310000	2369300000	7687900000	9181200000	11067000000	12432000000	13846000000	98682000	46683000	29982000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41823000	0	0	0	0	0	0	0	0	0	0	0	4371200	38119000	963640000	4924600000	6141700000	7704600000	6360700000	4298500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97949000	255670000	1009700000	2003200000	2014100000	1631900000	1269800000
Protein1022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21477000	365980	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7134200	0	0	0	0	0	0	0	0	0	0	0	0
Protein1023	169400000	368980000	164840000	108930000	111130000	23720000	16816000	12408000	5001900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73472000	177980000	98343000	86674000	44707000	36596000	16750000	11603000	5333400	0	0	2656300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein1024	0	0	0	0	2423600	0	0	14675000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2956200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein1025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38887000	0	0	0	0	0	0	7015000	29072000	6326600	2590000	2114100	91670000	29087000	26746000	74285000	28713000	16367000	25161000	4224200	4269000	7358000	12648000	5202900	22442000	15866000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5825800	5408300	5330500	3353200	0	0	3844800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein1026	0	0	0	0	0	1823400	1402300	22656000	53914000	190110000	191240000	468650000	1086200000	547640000	540030000	1185700000	511800000	1406900000	63856000	94949000	72290000	79131000	40800000	0	263100000	166640000	3933600	0	0	93519000	6949800	2190000	14629000	0	9669300	0	0	0	0	0	0	0	0	0	0	0	0	0	1334600	74611000	0	14041000	54867000	68266000	283640000	536480000	192070000	173900000	677980000	339610000	781360000	102190000	25315000	0	0	0	0	0	0	0	0	0	0	0	3487500	3927200	14385000	13809000	31445000	9939600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54344000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein1027	0	0	0	0	0	0	0	0	0	0	0	3921800	5891400	11878000	0	0	0	0	0	0	0	7898800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein1028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3050300	24922000	0	10284000	27576000	27491000	26835000	25721000	208100000	180830000	150110000	32628000	60557000	593300000	111000000	86075000	257940000	93461000	74814000	20782000	28183000	13512000	17046000	6259900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2525400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein1029	0	0	0	0	0	0	0	2807700	1727600	3246500	3773200	0	8998300	4926900	4518600	0	9576100	40866000	4276200	4697500	6268100	8914400	42241000	36172000	656620000	293390000	112760000	20675000	15871000	86625000	10341000	2857800	3696900	1781300	3554300	5869200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2528800	0	0	5362800	3245900	0	2370400	2310700	2118100	3183500	2620500	1877200	0	0	0	0	0	0	0	0	0	0	0	0	0	21887000	44060000	36698000	45406000	74621000	165880000	60021000	118450000	129750000	79965000	700140000	0	0	0	0	13211000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein1030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143430000	55693000	179090000	67990000	684220000	762250000	3326900000	4429900000	2220400000	847150000	347130000	128910000	17668000	1847200	0	0	0	0	0	0	0	0	0	8876400	43476000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9207300	0	65358000	755560000	1026700000	1678500000	1113800000	869700000	488820000	254330000	12894000	6792100	8709500	31754000	31522000	28546000	40587000	38666000	20639000	17563000	14421000	21296000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4424500	59185000	287110000	616250000	385060000	275840000	204290000	87259000	76888000	44359000	7386700	0	0	0	0	0	0	0	0	0	0
Protein1031	5631900	24197000	23158000	12585000	21182000	7513800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8405000	53729000	43806000	31806000	14035000	29653000	3350000	4199000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein1032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9781400	35254000	29796000	16257000	21555000	14060000	4318600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11855000	51608000	22072000	0	19139000	19941000	0	10816000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein1033	0	9750100	7399400	3378200	2976400	1194600	667070	1259000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2588300	15656000	12317000	22849000	9982100	4899500	3732100	5387300	1223200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6816300	5454400	5593400	2998100	3478000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
